sample	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
c_ll_po_0001	68.56	84.2466666666667	26.5466666666667	8158.94	231.546666666667	-79.9866666666667	311.533333333333	169.36	-30.72	169.36	-39.56	581.64	77.28	27.88	31.3933333333333	213.72	93.2933333333333	213.72	103.786666666667
c_ll_po_0002	68.9266666666667	84.4933333333333	26.56	8169.68666666667	232.286666666667	-79.8933333333333	312.18	170	-30.3866666666667	170	-39.1066666666667	585.866666666667	77.68	28.3333333333333	31.1866666666667	214.853333333333	94.86	214.853333333333	105.533333333333
c_ll_po_0003	69.18	84.3666666666667	26.5133333333333	8173.42	232.6	-79.6933333333333	312.293333333333	170.233333333333	-30.22	170.233333333333	-39.0266666666667	580.686666666667	77.22	28.12	31.56	213.86	93.3666666666667	213.86	103.873333333333
c_ll_po_0011	68.875	84.1052631578947	26.4671052631579	8174.48684210526	232.085526315789	-79.9605263157895	312.046052631579	169.848684210526	-30.6447368421053	169.848684210526	-39.5065789473684	578.085526315789	76.9802631578947	27.7763157894737	31.75	213.361842105263	92.2368421052632	213.361842105263	102.677631578947
c_ll_po_0014	69.2466666666667	84.5666666666667	26.56	8178.38	232.766666666667	-79.7666666666667	312.533333333333	170.413333333333	-30.12	170.413333333333	-38.9066666666667	585.653333333333	77.6533333333333	28.3933333333333	31.2	214.766666666667	94.92	214.766666666667	105.58
c_ll_po_0019	69.7569444444444	84.3125	26.4583333333333	8181.48611111111	233.423611111111	-79.2222222222222	312.645833333333	170.965277777778	-29.6944444444444	170.965277777778	-38.5138888888889	577.951388888889	77	28.1458333333333	31.8333333333333	213.618055555556	92.7430555555556	213.618055555556	103.173611111111
c_ll_po_0105	67.9607843137255	84	26.5098039215686	8158.98039215686	230.679738562092	-80.5424836601307	311.222222222222	168.705882352941	-31.3790849673203	168.705882352941	-40.2418300653595	583.019607843137	77.3986928104575	27.6209150326797	31.3986928104575	214.058823529412	93.1307189542484	214.058823529412	103.607843137255
c_ll_po_0106	67.8051948051948	84.3636363636364	26.6168831168831	8144.00649350649	230.512987012987	-80.538961038961	311.051948051948	168.441558441558	-31.2857142857143	168.441558441558	-40.025974025974	587.487012987013	77.8311688311688	27.8766233766234	31	214.701298701299	94.7012987012987	214.701298701299	105.292207792208
c_ll_po_0150	69.4105960264901	84.1854304635762	26.4304635761589	8183.09271523179	232.927152317881	-79.5960264900662	312.523178807947	170.529801324503	-30.1456953642384	170.529801324503	-39.0397350993377	575.993377483444	76.794701986755	27.8807947019868	31.953642384106	213.119205298013	91.9337748344371	213.119205298013	102.278145695364
c_ll_la_0044	62.8407643312102	66.0764331210191	23.3312101910828	7670.54140127389	207.350318471338	-70	277.350318471338	125.789808917197	-14.859872611465	160.101910828025	-35.1273885350318	683.700636942675	83	28.0254777070064	30.8789808917197	233.414012738854	103.700636942675	214.031847133758	127.777070063694
