sample	bio2	bio5	bio6	bio8	bio13	jan_depth	snow_days
c_ll_la_0044	66.0764331210191	207.350318471338	-70	125.78980891719701	83	6.843540441643	105.666666666667
c_ll_la_0045	77.601226993865	219.742331288344	-103.104294478528	159.711656441718	82.558282208589	10.5420043424098	125.142857142857
c_ll_la_0047	78.3515151515151	220.066666666667	-106.781818181818	160.733333333333	83.6484848484849	11.5828751511465	128.809523809524
c_ll_la_0048	63.9339622641509	206.235849056604	-70.4528301886792	117.22641509434	78.9245283018868	6.02275544272508	110.952380952381
c_ll_la_0052	63.9	205.64	-69.45	112.91	79.63	5.79500628431983	106.714285714286
c_ll_la_0053	64.8712121212121	207.007575757576	-70.3787878787879	124.439393939394	80.5833333333333	6.5937239411438	108.285714285714
c_ll_la_0054	69.1168831168831	211.805194805195	-93.6233766233766	134	77.974025974026	11.0297517981429	130.714285714286
c_ll_ki_0090	79.6011235955056	227.926966292135	-188.589887640449	157.179775280899	83.7584269662921	42.8613098727203	183
c_ll_ki_0091	79.6011235955056	227.926966292135	-188.589887640449	157.179775280899	83.7584269662921	42.8613098727203	183
c_ll_ki_0092	79.6011235955056	227.926966292135	-188.589887640449	157.179775280899	83.7584269662921	42.8613098727203	183
c_ll_ki_0093	79.6011235955056	227.926966292135	-188.589887640449	157.179775280899	83.7584269662921	42.8613098727203	183
c_ll_ki_0094	79.6011235955056	227.926966292135	-188.589887640449	157.179775280899	83.7584269662921	42.8613098727203	183
c_ll_ki_0095	85.3425414364641	225.508287292818	-192.867403314917	152.165745856354	78.3093922651934	43.3844910950169	185.333333333333
c_ll_ki_0096	85.3425414364641	225.508287292818	-192.867403314917	152.165745856354	78.3093922651934	43.3844910950169	185.333333333333
c_ll_ki_0097	85.3425414364641	225.508287292818	-192.867403314917	152.165745856354	78.3093922651934	43.3844910950169	185.333333333333
c_ll_ki_0098	85.3425414364641	225.508287292818	-192.867403314917	152.165745856354	78.3093922651934	43.3844910950169	185.333333333333
c_ll_ki_0099	85.3425414364641	225.508287292818	-192.867403314917	152.165745856354	78.3093922651934	43.3844910950169	185.333333333333
c_ll_ki_0100	89.5978260869565	224.798913043478	-192.478260869565	148.103260869565	75.4945652173913	39.5289337134764	185
c_ll_ki_0101	89.5978260869565	224.798913043478	-192.478260869565	148.103260869565	75.4945652173913	39.5289337134764	185
c_ll_ki_0102	89.5978260869565	224.798913043478	-192.478260869565	148.103260869565	75.4945652173913	39.5289337134764	185
c_ll_vl_0107	96.9615384615385	210.807692307692	-195.320512820513	147.948717948718	146.602564102564	16.2188372914752	191.619047619048
c_ll_vl_0108	99.421875	213.90625	-213.0234375	150.390625	147.9765625	27.620209603047	190.857142857143
c_ll_vl_0109	94.9423076923077	200.182692307692	-206.221153846154	138.346153846154	155.288461538462	27.2203975230634	198.285714285714
c_ll_vl_0110	116.188405797101	259.507246376812	-307.427536231884	183.130434782609	150.057971014493	22.6290202570517	193.333333333333
c_ll_vl_0112	93.1401869158879	198.046728971963	-204.915887850467	137.018691588785	156.271028037383	27.8635802902232	198.619047619048
c_ll_vl_0113	93.1401869158879	198.046728971963	-204.915887850467	137.018691588785	156.271028037383	27.8635802902232	198.619047619048
c_ll_vl_0114	87.2846153846154	183.630769230769	-225.615384615385	125.646153846154	168.653846153846	30.9793943386853	213.904761904762
c_ll_vl_0128	90.989010989011	196.186813186813	-200.417582417582	136.153846153846	155.703296703297	24.2228902648603	198.47619047619
c_ll_vl_0132	90.989010989011	196.186813186813	-200.417582417582	136.153846153846	155.703296703297	24.2228902648603	198.47619047619
c_ll_ya_0138	117.098901098901	248.554945054945	-444.368131868132	160.115384615385	60.2472527472527	30.8675229002525	225.666666666667
c_ll_ya_0139	114.059459459459	244.005405405405	-437.264864864865	153.583783783784	50.9405405405405	26.1728083151591	229.095238095238
c_ll_ya_0140	113.967391304348	243.79347826087	-436.744565217391	153.440217391304	51.1847826086956	26.1728083151591	229.095238095238
c_ll_ya_0141	118.508547008547	195.388888888889	-489.205128205128	103.730769230769	49.6923076923077	17.8237221735385	259.333333333333
c_ll_ya_0142	118.508547008547	195.388888888889	-489.205128205128	103.730769230769	49.6923076923077	17.8237221735385	259.333333333333
c_ll_ya_0143	118.508547008547	195.388888888889	-489.205128205128	103.730769230769	49.6923076923077	17.8237221735385	259.333333333333
c_ll_ya_0145	114.721649484536	247.577319587629	-445.128865979381	155.845360824742	45.6237113402062	26.9636172260272	227.238095238095
c_ll_ya_0146	116.686170212766	247.31914893617	-446.755319148936	156.771276595745	53.6914893617021	29.4044245088626	226.809523809524
c_ll_ya_0147	108.737967914438	233.347593582888	-414.262032085561	145.459893048128	59.4973262032086	26.3633839667952	230.047619047619
c_ll_tu_0153	140.070921985816	205.007092198582	-370.127659574468	121.475177304965	95.0212765957447	28.5074991804102	247.095238095238
c_ll_tu_0157	140.070921985816	205.007092198582	-370.127659574468	121.475177304965	95.0212765957447	28.5074991804102	247.095238095238
c_ll_tu_0158	140.070921985816	205.007092198582	-370.127659574468	121.475177304965	95.0212765957447	28.5074991804102	247.095238095238
c_ll_tu_0159	140.070921985816	205.007092198582	-370.127659574468	121.475177304965	95.0212765957447	28.5074991804102	247.095238095238
c_ll_tu_0165	140.070921985816	205.007092198582	-370.127659574468	121.475177304965	95.0212765957447	28.5074991804102	247.095238095238
c_ll_tu_0166	140.070921985816	205.007092198582	-370.127659574468	121.475177304965	95.0212765957447	28.5074991804102	247.095238095238
c_ll_ka_0184	135.611510791367	213.647482014388	-317.741007194245	139.021582733813	105.892086330935	9.69888219316223	217.047619047619
c_ll_ka_0186	133.748201438849	214.654676258993	-315	141.064748201439	101.086330935252	10.3308048667441	217.952380952381
c_ll_ka_0188	141.884892086331	222.431654676259	-292.482014388489	143.690647482014	104.755395683453	7.90393145160518	208.47619047619
c_ll_ka_0189	139.510638297872	212.985815602837	-301.297872340426	134.581560283688	119.425531914894	13.6662612371175	217.761904761905
c_ll_to_0190	137.764705882353	229.551470588235	-294.323529411765	154.397058823529	83.6544117647059	4.44205837187401	206.857142857143
